,population size,function evaluations,bitflip probability,cross probability,fitness,execution
0,100,3000,0.01,0.01,92.0,0
1,100,3000,0.01,0.01,88.0,1
2,100,3000,0.01,0.01,90.0,2
3,100,3000,0.01,0.01,89.0,3
4,100,3000,0.01,0.01,90.0,4
5,100,3000,0.01,0.01,94.0,5
6,100,3000,0.01,0.01,91.0,6
7,100,3000,0.01,0.01,91.0,7
8,100,3000,0.01,0.01,91.0,8
9,100,3000,0.01,0.01,91.0,9
10,100,3000,0.01,0.01,94.0,10
11,100,3000,0.01,0.01,90.0,11
12,100,3000,0.01,0.01,92.0,12
13,100,3000,0.01,0.01,93.0,13
14,100,3000,0.01,0.01,92.0,14
15,100,3000,0.01,0.01,91.0,15
16,100,3000,0.01,0.01,94.0,16
17,100,3000,0.01,0.01,90.0,17
18,100,3000,0.01,0.01,93.0,18
19,100,3000,0.01,0.01,92.0,19
20,100,3000,0.01,0.01,92.0,20
21,100,3000,0.01,0.01,91.0,21
22,100,3000,0.01,0.01,91.0,22
23,100,3000,0.01,0.01,94.0,23
24,100,3000,0.01,0.01,90.0,24
25,100,3000,0.01,0.01,91.0,25
26,100,3000,0.01,0.01,90.0,26
27,100,3000,0.01,0.01,89.0,27
28,100,3000,0.01,0.01,90.0,28
29,100,3000,0.01,0.01,91.0,29
30,100,3000,0.01,0.1,94.0,0
31,100,3000,0.01,0.1,93.0,1
32,100,3000,0.01,0.1,93.0,2
33,100,3000,0.01,0.1,93.0,3
34,100,3000,0.01,0.1,93.0,4
35,100,3000,0.01,0.1,94.0,5
36,100,3000,0.01,0.1,93.0,6
37,100,3000,0.01,0.1,93.0,7
38,100,3000,0.01,0.1,92.0,8
39,100,3000,0.01,0.1,93.0,9
40,100,3000,0.01,0.1,91.0,10
41,100,3000,0.01,0.1,93.0,11
42,100,3000,0.01,0.1,91.0,12
43,100,3000,0.01,0.1,95.0,13
44,100,3000,0.01,0.1,91.0,14
45,100,3000,0.01,0.1,94.0,15
46,100,3000,0.01,0.1,93.0,16
47,100,3000,0.01,0.1,95.0,17
48,100,3000,0.01,0.1,93.0,18
49,100,3000,0.01,0.1,89.0,19
50,100,3000,0.01,0.1,94.0,20
51,100,3000,0.01,0.1,92.0,21
52,100,3000,0.01,0.1,95.0,22
53,100,3000,0.01,0.1,94.0,23
54,100,3000,0.01,0.1,93.0,24
55,100,3000,0.01,0.1,91.0,25
56,100,3000,0.01,0.1,94.0,26
