,Execution,Population Size,Problem Size,Evaluations,Mutation Probability,Crossover Probability,Elapsed Time (ms)
0,0,100,100,4916.0,0.01,0.1,54.0
1,1,100,100,6411.0,0.01,0.1,60.0
2,2,100,100,4190.0,0.01,0.1,52.0
3,3,100,100,5212.0,0.01,0.1,56.0
4,4,100,100,4662.0,0.01,0.1,53.0
5,5,100,100,3993.0,0.01,0.1,49.0
6,6,100,100,5007.0,0.01,0.1,55.0
7,7,100,100,4580.0,0.01,0.1,53.0
8,8,100,100,4828.0,0.01,0.1,54.0
9,9,100,100,4943.0,0.01,0.1,56.0
10,10,100,100,5441.0,0.01,0.1,61.0
11,11,100,100,4287.0,0.01,0.1,53.0
12,12,100,100,5500.0,0.01,0.1,58.0
13,13,100,100,5163.0,0.01,0.1,55.0
14,14,100,100,5646.0,0.01,0.1,57.0
15,15,100,100,4681.0,0.01,0.1,55.0
16,16,100,100,5140.0,0.01,0.1,56.0
17,17,100,100,5870.0,0.01,0.1,59.0
18,18,100,100,4634.0,0.01,0.1,52.0
19,19,100,100,4908.0,0.01,0.1,53.0
20,20,100,100,4935.0,0.01,0.1,53.0
21,21,100,100,6047.0,0.01,0.1,57.0
22,22,100,100,4770.0,0.01,0.1,52.0
23,23,100,100,4210.0,0.01,0.1,50.0
24,24,100,100,5198.0,0.01,0.1,54.0
25,25,100,100,4711.0,0.01,0.1,52.0
26,26,100,100,4858.0,0.01,0.1,53.0
27,27,100,100,5352.0,0.01,0.1,55.0
28,28,100,100,5759.0,0.01,0.1,56.0
29,29,100,100,5260.0,0.01,0.1,54.0
30,0,100,100,4705.0,0.01,0.2,52.0
31,1,100,100,4639.0,0.01,0.2,51.0
32,2,100,100,4219.0,0.01,0.2,51.0
33,3,100,100,3929.0,0.01,0.2,49.0
34,4,100,100,4242.0,0.01,0.2,50.0
35,5,100,100,5148.0,0.01,0.2,54.0
36,6,100,100,4575.0,0.01,0.2,51.0
37,7,100,100,4891.0,0.01,0.2,53.0
38,8,100,100,3950.0,0.01,0.2,50.0
39,9,100,100,4577.0,0.01,0.2,52.0
40,10,100,100,4490.0,0.01,0.2,52.0
41,11,100,100,3577.0,0.01,0.2,47.0
42,12,100,100,4432.0,0.01,0.2,52.0
43,13,100,100,4103.0,0.01,0.2,50.0
44,14,100,100,3902.0,0.01,0.2,50.0
45,15,100,100,3932.0,0.01,0.2,51.0
46,16,100,100,4730.0,0.01,0.2,54.0
47,17,100,100,4437.0,0.01,0.2,52.0
48,18,100,100,4050.0,0.01,0.2,52.0
49,19,100,100,3793.0,0.01,0.2,51.0
50,20,100,100,4598.0,0.01,0.2,52.0
51,21,100,100,4547.0,0.01,0.2,52.0
52,22,100,100,4333.0,0.01,0.2,51.0
53,23,100,100,3982.0,0.01,0.2,49.0
54,24,100,100,4439.0,0.01,0.2,51.0
55,25,100,100,4534.0,0.01,0.2,53.0
56,26,100,100,5349.0,0.01,0.2,57.0
57,27,100,100,4032.0,0.01,0.2,51.0
58,28,100,100,3913.0,0.01,0.2,50.0
59,29,100,100,4567.0,0.01,0.2,53.0
60,0,100,100,4450.0,0.01,0.3,52.0
61,1,100,100,3977.0,0.01,0.3,50.0
62,2,100,100,4277.0,0.01,0.3,51.0
63,3,100,100,4253.0,0.01,0.3,51.0
64,4,100,100,4228.0,0.01,0.3,51.0
65,5,100,100,3632.0,0.01,0.3,48.0
66,6,100,100,3843.0,0.01,0.3,51.0
