,population size,function evaluations,bitflip probability,cross probability,fitness,execution
0,100,1000,0.01,0.6,1731.0,0
1,100,1000,0.01,0.6,1647.0,1
2,100,1000,0.01,0.6,1510.0,2
3,100,1000,0.01,0.6,1441.0,3
4,100,1000,0.01,0.6,1367.0,4
5,100,1000,0.01,0.6,1735.0,5
6,100,1000,0.01,0.6,1697.0,6
7,100,1000,0.01,0.6,1477.0,7
8,100,1000,0.01,0.6,1777.0,8
9,100,1000,0.01,0.6,1289.0,9
10,100,1000,0.01,0.6,1731.0,10
11,100,1000,0.01,0.6,1870.0,11
12,100,1000,0.01,0.6,1486.0,12
13,100,1000,0.01,0.6,2174.0,13
14,100,1000,0.01,0.6,1451.0,14
15,100,1000,0.01,0.6,1256.0,15
16,100,1000,0.01,0.6,1687.0,16
17,100,1000,0.01,0.6,1300.0,17
18,100,1000,0.01,0.6,1187.0,18
19,100,1000,0.01,0.6,1478.0,19
20,100,1000,0.01,0.6,1625.0,20
21,100,1000,0.01,0.6,1632.0,21
22,100,1000,0.01,0.6,1580.0,22
23,100,1000,0.01,0.6,1034.0,23
24,100,1000,0.01,0.6,1406.0,24
25,100,1000,0.01,0.6,1484.0,25
26,100,1000,0.01,0.6,1709.0,26
27,100,1000,0.01,0.6,1454.0,27
28,100,1000,0.01,0.6,1628.0,28
29,100,1000,0.01,0.6,1543.0,29
30,100,1000,0.01,0.7,1522.0,0
31,100,1000,0.01,0.7,1519.0,1
32,100,1000,0.01,0.7,1468.0,2
33,100,1000,0.01,0.7,1311.0,3
34,100,1000,0.01,0.7,1397.0,4
35,100,1000,0.01,0.7,1389.0,5
36,100,1000,0.01,0.7,1474.0,6
37,100,1000,0.01,0.7,1642.0,7
38,100,1000,0.01,0.7,1539.0,8
39,100,1000,0.01,0.7,1552.0,9
40,100,1000,0.01,0.7,1587.0,10
41,100,1000,0.01,0.7,1441.0,11
42,100,1000,0.01,0.7,1330.0,12
43,100,1000,0.01,0.7,1425.0,13
44,100,1000,0.01,0.7,1489.0,14
45,100,1000,0.01,0.7,1610.0,15
46,100,1000,0.01,0.7,1658.0,16
47,100,1000,0.01,0.7,1259.0,17
48,100,1000,0.01,0.7,1688.0,18
49,100,1000,0.01,0.7,1161.0,19
50,100,1000,0.01,0.7,1381.0,20
51,100,1000,0.01,0.7,1231.0,21
52,100,1000,0.01,0.7,2446.0,22
53,100,1000,0.01,0.7,1494.0,23
54,100,1000,0.01,0.7,1335.0,24
55,100,1000,0.01,0.7,1364.0,25
56,100,1000,0.01,0.7,1457.0,26
57,100,1000,0.01,0.7,1744.0,27
58,100,1000,0.01,0.7,1487.0,28
59,100,1000,0.01,0.7,1729.0,29
60,100,1000,0.01,0.8,1533.0,0
61,100,1000,0.01,0.8,1299.0,1
62,100,1000,0.01,0.8,1480.0,2
63,100,1000,0.01,0.8,1042.0,3
64,100,1000,0.01,0.8,1430.0,4
65,100,1000,0.01,0.8,1505.0,5
66,100,1000,0.01,0.8,1495.0,6
67,100,1000,0.01,0.8,1500.0,7
68,100,1000,0.01,0.8,1512.0,8
69,100,1000,0.01,0.8,1669.0,9
70,100,1000,0.01,0.8,880.0,10
71,100,1000,0.01,0.8,1229.0,11
72,100,1000,0.01,0.8,1296.0,12
73,100,1000,0.01,0.8,1103.0,13
74,100,1000,0.01,0.8,1668.0,14
75,100,1000,0.01,0.8,1201.0,15
76,100,1000,0.01,0.8,1246.0,16
77,100,1000,0.01,0.8,1480.0,17
78,100,1000,0.01,0.8,1524.0,18
79,100,1000,0.01,0.8,1289.0,19
80,100,1000,0.01,0.8,1484.0,20
81,100,1000,0.01,0.8,1319.0,21
82,100,1000,0.01,0.8,1491.0,22
83,100,1000,0.01,0.8,1242.0,23
84,100,1000,0.01,0.8,1519.0,24
85,100,1000,0.01,0.8,1435.0,25
86,100,1000,0.01,0.8,1650.0,26
87,100,1000,0.01,0.8,1216.0,27
88,100,1000,0.01,0.8,1296.0,28
89,100,1000,0.01,0.8,1372.0,29
90,100,1000,0.01,0.9,1307.0,0
91,100,1000,0.01,0.9,1464.0,1
92,100,1000,0.01,0.9,1373.0,2
93,100,1000,0.01,0.9,1780.0,3
94,100,1000,0.01,0.9,1358.0,4
95,100,1000,0.01,0.9,1608.0,5
