bitflip probability,cross probability,mean,std
0.0001,0.6,24497.633333333335,11893.801336840545
0.0001,0.7,24190.166666666668,11993.026105956784
0.0001,0.8,22776.766666666666,13684.847834522056
0.0001,0.9,22357.4,15995.627255058133
0.0001,0.95,23053.833333333332,17602.786828899512
0.0005,0.6,5811.8,2800.3435429640936
0.0005,0.7,5719.966666666666,2239.3565498757143
0.0005,0.8,4485.966666666666,2582.8514513111727
0.0005,0.9,4219.0,2475.992618784608
0.0005,0.95,4805.3,3207.605209928214
0.001,0.6,3391.5,920.4280394805825
0.001,0.7,4043.1,1699.96956057941
0.001,0.8,3036.3,1414.56200483303
0.001,0.9,3070.266666666667,1297.602562110372
0.001,0.95,2532.1666666666665,1230.8270301553014
0.005,0.6,1809.9666666666667,322.20335015417623
0.005,0.7,1522.5333333333333,246.61539697064433
0.005,0.8,1517.8333333333333,312.9791315433174
0.005,0.9,1490.7666666666667,239.63602908740913
0.005,0.95,1394.4,274.80935084226087
0.01,0.6,1546.2,224.21039995565738
0.01,0.7,1504.3,228.73914521070532
0.01,0.8,1380.1666666666667,186.12344500790113
0.01,0.9,1416.4,178.98884573221798
0.01,0.95,1292.0666666666666,159.1349315417002
