Crossover Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.1,5838.216666666666,4633.626964471259,50.93333333333333,15.603004027145738
0.2,5362.94,4122.406469535347,49.39666666666667,14.533526764793365
0.3,4744.7266666666665,3556.4027801141383,47.67,13.481354645469535
0.4,4619.216666666666,3515.906732298649,46.94,13.317692610015033
0.5,4247.803333333333,3340.666052887047,45.54666666666667,12.767059760911451
0.6,4064.9066666666668,3162.266797031455,44.81333333333333,12.229623920068414
0.7,3764.2266666666665,2933.615340356127,43.82666666666667,11.719261603473912
0.8,3645.5666666666666,2732.7471468807425,43.233333333333334,11.030160334839325
0.9,3397.05,2481.100904806731,42.29333333333334,10.38815035420135
1.0,3310.6033333333335,2430.2010389309285,41.91,10.390465464802388
