,Execution,Population Size,Problem Size,Evaluations,Mutation Probability,Crossover Probability,Fitness,Max Evaluations,Elapsed Time (ms)
0,0,100,100,3000,0.01,0.1,94.0,3000,43.0
1,1,100,100,3000,0.01,0.1,94.0,3000,42.0
2,2,100,100,3000,0.01,0.1,93.0,3000,41.0
3,3,100,100,3000,0.01,0.1,93.0,3000,42.0
4,4,100,100,3000,0.01,0.1,97.0,3000,42.0
5,5,100,100,3000,0.01,0.1,89.0,3000,42.0
6,6,100,100,3000,0.01,0.1,92.0,3000,41.0
7,7,100,100,3000,0.01,0.1,94.0,3000,42.0
8,8,100,100,3000,0.01,0.1,92.0,3000,42.0
9,9,100,100,3000,0.01,0.1,94.0,3000,42.0
10,10,100,100,3000,0.01,0.1,92.0,3000,40.0
11,11,100,100,3000,0.01,0.1,92.0,3000,41.0
12,12,100,100,3000,0.01,0.1,93.0,3000,42.0
13,13,100,100,3000,0.01,0.1,92.0,3000,42.0
14,14,100,100,3000,0.01,0.1,92.0,3000,41.0
15,15,100,100,3000,0.01,0.1,93.0,3000,42.0
16,16,100,100,3000,0.01,0.1,96.0,3000,42.0
17,17,100,100,3000,0.01,0.1,95.0,3000,41.0
18,18,100,100,3000,0.01,0.1,92.0,3000,41.0
19,19,100,100,3000,0.01,0.1,95.0,3000,42.0
20,20,100,100,3000,0.01,0.1,95.0,3000,42.0
21,21,100,100,3000,0.01,0.1,94.0,3000,42.0
22,22,100,100,3000,0.01,0.1,94.0,3000,41.0
23,23,100,100,3000,0.01,0.1,93.0,3000,43.0
24,24,100,100,3000,0.01,0.1,91.0,3000,41.0
25,25,100,100,3000,0.01,0.1,93.0,3000,42.0
26,26,100,100,3000,0.01,0.1,94.0,3000,42.0
27,27,100,100,3000,0.01,0.1,94.0,3000,42.0
28,28,100,100,3000,0.01,0.1,94.0,3000,55.0
29,29,100,100,3000,0.01,0.1,93.0,3000,42.0
30,0,100,100,3000,0.01,0.2,95.0,3000,42.0
31,1,100,100,3000,0.01,0.2,95.0,3000,42.0
32,2,100,100,3000,0.01,0.2,95.0,3000,41.0
33,3,100,100,3000,0.01,0.2,94.0,3000,42.0
34,4,100,100,3000,0.01,0.2,97.0,3000,43.0
35,5,100,100,3000,0.01,0.2,96.0,3000,41.0
36,6,100,100,3000,0.01,0.2,94.0,3000,42.0
37,7,100,100,3000,0.01,0.2,95.0,3000,42.0
38,8,100,100,3000,0.01,0.2,94.0,3000,42.0
39,9,100,100,3000,0.01,0.2,95.0,3000,42.0
40,10,100,100,3000,0.01,0.2,94.0,3000,42.0
41,11,100,100,3000,0.01,0.2,95.0,3000,42.0
42,12,100,100,3000,0.01,0.2,93.0,3000,41.0
43,13,100,100,3000,0.01,0.2,95.0,3000,41.0
