,population size,function evaluations,bitflip probability,cross probability,fitness,execution
0,100,1000,0.01,0.1,46.0,0
1,100,1000,0.01,0.1,44.0,1
2,100,1000,0.01,0.1,43.0,2
3,100,1000,0.01,0.1,42.0,3
4,100,1000,0.01,0.1,44.0,4
5,100,1000,0.01,0.1,44.0,5
6,100,1000,0.01,0.1,45.0,6
7,100,1000,0.01,0.1,45.0,7
8,100,1000,0.01,0.1,46.0,8
9,100,1000,0.01,0.1,44.0,9
10,100,1000,0.01,0.1,45.0,10
11,100,1000,0.01,0.1,43.0,11
12,100,1000,0.01,0.1,42.0,12
13,100,1000,0.01,0.1,42.0,13
14,100,1000,0.01,0.1,43.0,14
15,100,1000,0.01,0.1,43.0,15
16,100,1000,0.01,0.1,45.0,16
17,100,1000,0.01,0.1,43.0,17
18,100,1000,0.01,0.1,43.0,18
19,100,1000,0.01,0.1,44.0,19
20,100,1000,0.01,0.1,44.0,20
21,100,1000,0.01,0.1,46.0,21
22,100,1000,0.01,0.1,46.0,22
23,100,1000,0.01,0.1,42.0,23
24,100,1000,0.01,0.1,44.0,24
25,100,1000,0.01,0.1,45.0,25
26,100,1000,0.01,0.1,44.0,26
27,100,1000,0.01,0.1,44.0,27
28,100,1000,0.01,0.1,43.0,28
29,100,1000,0.01,0.1,45.0,29
30,100,1000,0.01,0.2,45.0,0
31,100,1000,0.01,0.2,45.0,1
32,100,1000,0.01,0.2,47.0,2
33,100,1000,0.01,0.2,48.0,3
34,100,1000,0.01,0.2,42.0,4
35,100,1000,0.01,0.2,44.0,5
36,100,1000,0.01,0.2,46.0,6
37,100,1000,0.01,0.2,46.0,7
38,100,1000,0.01,0.2,45.0,8
39,100,1000,0.01,0.2,44.0,9
40,100,1000,0.01,0.2,42.0,10
41,100,1000,0.01,0.2,44.0,11
42,100,1000,0.01,0.2,43.0,12
43,100,1000,0.01,0.2,42.0,13
44,100,1000,0.01,0.2,44.0,14
45,100,1000,0.01,0.2,46.0,15
46,100,1000,0.01,0.2,43.0,16
47,100,1000,0.01,0.2,45.0,17
48,100,1000,0.01,0.2,44.0,18
49,100,1000,0.01,0.2,45.0,19
50,100,1000,0.01,0.2,45.0,20
51,100,1000,0.01,0.2,44.0,21
52,100,1000,0.01,0.2,44.0,22
53,100,1000,0.01,0.2,44.0,23
54,100,1000,0.01,0.2,45.0,24
55,100,1000,0.01,0.2,44.0,25
56,100,1000,0.01,0.2,45.0,26
57,100,1000,0.01,0.2,43.0,27
58,100,1000,0.01,0.2,45.0,28
59,100,1000,0.01,0.2,44.0,29
60,100,1000,0.01,0.3,44.0,0
61,100,1000,0.01,0.3,47.0,1
62,100,1000,0.01,0.3,46.0,2
63,100,1000,0.01,0.3,45.0,3
64,100,1000,0.01,0.3,43.0,4
65,100,1000,0.01,0.3,45.0,5
66,100,1000,0.01,0.3,43.0,6
67,100,1000,0.01,0.3,42.0,7
68,100,1000,0.01,0.3,44.0,8
69,100,1000,0.01,0.3,44.0,9
70,100,1000,0.01,0.3,47.0,10
71,100,1000,0.01,0.3,44.0,11
72,100,1000,0.01,0.3,44.0,12
73,100,1000,0.01,0.3,46.0,13
74,100,1000,0.01,0.3,46.0,14
75,100,1000,0.01,0.3,43.0,15
76,100,1000,0.01,0.3,46.0,16
77,100,1000,0.01,0.3,45.0,17
78,100,1000,0.01,0.3,46.0,18
79,100,1000,0.01,0.3,45.0,19
80,100,1000,0.01,0.3,47.0,20
81,100,1000,0.01,0.3,44.0,21
82,100,1000,0.01,0.3,48.0,22
83,100,1000,0.01,0.3,45.0,23
84,100,1000,0.01,0.3,47.0,24
85,100,1000,0.01,0.3,45.0,25
86,100,1000,0.01,0.3,43.0,26
87,100,1000,0.01,0.3,44.0,27
88,100,1000,0.01,0.3,47.0,28
89,100,1000,0.01,0.3,44.0,29
90,100,1000,0.01,0.4,46.0,0
91,100,1000,0.01,0.4,44.0,1
92,100,1000,0.01,0.4,47.0,2
93,100,1000,0.01,0.4,46.0,3
94,100,1000,0.01,0.4,48.0,4
95,100,1000,0.01,0.4,47.0,5
96,100,1000,0.01,0.4,45.0,6
97,100,1000,0.01,0.4,45.0,7
98,100,1000,0.01,0.4,47.0,8
99,100,1000,0.01,0.4,45.0,9
