bitflip probability,cross probability,mean,std
0.0001,0.6,43.93333333333333,1.5070714541175865
0.0001,0.7,43.6,1.8307714597761886
0.0001,0.8,44.833333333333336,1.3152509484776145
0.0001,0.9,45.333333333333336,1.8631329442141513
0.0001,0.95,45.93333333333333,1.874204812223285
0.0005,0.6,44.4,1.2484473115254662
0.0005,0.7,44.9,1.626292589359889
0.0005,0.8,45.733333333333334,1.529780992514115
0.0005,0.9,45.96666666666667,1.4015590662158877
0.0005,0.95,46.5,1.5701965613830993
0.001,0.6,44.333333333333336,1.18418699983352
0.001,0.7,45.03333333333333,1.8285727114117019
0.001,0.8,45.46666666666667,1.2242755305537416
0.001,0.9,46.0,1.4855627054164153
0.001,0.95,46.333333333333336,1.347624559743178
0.005,0.6,46.0,1.3390681268239712
0.005,0.7,46.4,1.191926866536875
0.005,0.8,47.43333333333333,1.0063019815944512
0.005,0.9,47.266666666666666,1.0148325268098493
0.005,0.95,47.43333333333333,1.165105688067745
0.01,0.6,46.46666666666667,0.9732042112432555
0.01,0.7,46.833333333333336,1.2058287558794336
0.01,0.8,47.166666666666664,1.3152509484776154
0.01,0.9,47.6,1.0372377109252822
0.01,0.95,48.2,0.9613209303008462
