Mutation Probability,Crossover Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.01,0.1,49.93333333333333,0.25370813170246276,37.93333333333333,0.7396799556440675
0.01,0.2,50.0,0.0,38.03333333333333,0.5560534167675355
0.01,0.3,50.0,0.0,38.233333333333334,0.5040069329937312
0.01,0.4,50.0,0.0,38.03333333333333,0.5560534167675353
0.01,0.5,50.0,0.0,37.93333333333333,0.2537081317024623
0.01,0.6,50.0,0.0,38.5,0.9377154924749763
0.01,0.7,50.0,0.0,39.266666666666666,2.4059313679168914
0.01,0.8,50.0,0.0,39.46666666666667,2.161310798523917
0.01,0.9,50.0,0.0,39.666666666666664,0.8441822541139554
0.01,1.0,50.0,0.0,38.8,1.030567302759621
0.02,0.1,50.0,0.0,38.266666666666666,0.7849152527648996
0.02,0.2,50.0,0.0,39.46666666666667,4.761435116413547
0.02,0.3,50.0,0.0,38.4,0.8550055454548909
0.02,0.4,50.0,0.0,38.4,0.7239737088005894
0.02,0.5,50.0,0.0,40.3,2.380234703002902
0.02,0.6,50.0,0.0,40.8,3.1775071556391397
0.02,0.7,50.0,0.0,41.06666666666667,4.266415222475974
0.02,0.8,50.0,0.0,38.9,0.9948141396330261
0.02,0.9,50.0,0.0,39.4,5.075974511498191
0.02,1.0,50.0,0.0,39.46666666666667,1.306042543884684
0.03,0.1,49.9,0.305128576629363,39.53333333333333,3.0369373562434783
0.03,0.2,50.0,0.0,39.63333333333333,0.9643054793328045
0.03,0.3,50.0,0.0,38.93333333333333,0.8683449709106091
0.03,0.4,50.0,0.0,38.56666666666667,0.7738543627276684
0.03,0.5,50.0,0.0,38.3,0.5959634332684371
0.03,0.6,50.0,0.0,38.6,0.8136762043449738
0.03,0.7,50.0,0.0,39.766666666666666,2.6611293082829133
0.03,0.8,50.0,0.0,39.43333333333333,1.5465943304527225
0.03,0.9,50.0,0.0,40.56666666666667,2.079179767539865
0.03,1.0,50.0,0.0,39.2,1.0305673027596212
0.04,0.1,49.36666666666667,0.5560534167675356,39.43333333333333,1.07264845715811
0.04,0.2,49.7,0.4660915996993989,41.56666666666667,5.008154270327773
0.04,0.3,49.833333333333336,0.3790490217894519,40.0,1.3390681268239726
0.04,0.4,49.93333333333333,0.2537081317024632,40.13333333333333,1.4076964145021824
0.04,0.5,49.93333333333333,0.25370813170246237,39.1,0.9228890171255877
0.04,0.6,50.0,0.0,39.03333333333333,1.0661996103898195
0.04,0.7,49.96666666666667,0.1825741858350556,40.333333333333336,5.827008064908248
0.04,0.8,50.0,0.0,39.36666666666667,0.7648904962570579
0.04,0.9,50.0,0.0,40.03333333333333,1.24522074855974
0.04,1.0,50.0,0.0,40.6,1.9757146240948027
0.05,0.1,48.833333333333336,0.7914775938769181,42.46666666666667,5.667410363639206
0.05,0.2,49.03333333333333,0.7183954022841383,40.666666666666664,0.9589266029707673
0.05,0.3,49.43333333333333,0.6789105539243635,41.56666666666667,3.3904870297422725
0.05,0.4,49.46666666666667,0.5074162634049245,42.333333333333336,5.585284442071916
0.05,0.5,49.86666666666667,0.3457459036417597,39.93333333333333,0.8276819867946674
0.05,0.6,49.86666666666667,0.34574590364176067,39.6,0.7701320979389578
0.05,0.7,49.833333333333336,0.3790490217894507,39.3,0.5959634332684385
0.05,0.8,49.93333333333333,0.25370813170246204,39.63333333333333,0.8502873077655133
0.05,0.9,49.93333333333333,0.2537081317024631,39.43333333333333,0.5683207771559353
0.05,1.0,49.96666666666667,0.18257418583505658,39.6,0.6746646676632063
0.06,0.1,48.233333333333334,0.8172001541568767,39.13333333333333,0.34574590364176067
0.06,0.2,48.63333333333333,0.6149478998583779,39.266666666666666,0.5208304597621878
0.06,0.3,48.86666666666667,0.5713464637233655,39.43333333333333,0.7279320417946059
0.06,0.4,49.0,0.6432675209026761,39.3,0.7497125886079571
0.06,0.5,49.3,0.5959634332684383,41.13333333333333,4.141741540524437
0.06,0.6,49.1,0.7119666788018513,39.766666666666666,0.8172001541568742
0.06,0.7,49.5,0.5085476277156074,39.7,0.8366600265340766
0.06,0.8,49.53333333333333,0.5074162634049255,40.766666666666666,4.847205617554363
0.06,0.9,49.766666666666666,0.43018306715207627,41.43333333333333,2.608782690535336
0.06,1.0,49.733333333333334,0.44977644510880305,41.9,4.985150362620072
0.07,0.1,47.53333333333333,0.8995528902176065,40.166666666666664,3.206494845684662
0.07,0.2,48.03333333333333,0.7183954022841391,39.13333333333333,0.4341724854553038
0.07,0.3,48.3,0.7497125886079535,39.36666666666667,0.5560534167675355
0.07,0.4,48.6,0.7701320979389586,39.6,0.770132097938959
0.07,0.5,48.56666666666667,0.6260623155792922,40.4,2.6600492606276127
0.07,0.6,48.8,0.7143842296595061,40.733333333333334,3.805017860607258
0.07,0.7,48.6,0.6214554662658651,39.6,0.8944271909999156
0.07,0.8,49.06666666666667,0.4497764451088033,39.666666666666664,0.8441822541139569
0.07,0.9,49.233333333333334,0.6260623155792927,41.5,2.388911164468895
0.07,1.0,49.233333333333334,0.5683207771559358,42.166666666666664,5.004021371362983
0.08,0.1,47.1,0.661763578993857,39.166666666666664,0.5920934999167602
0.08,0.2,47.4,0.855005545454894,39.43333333333333,0.6260623155792923
0.08,0.3,47.833333333333336,0.9855274566525744,40.1,1.4467561813504939
0.08,0.4,47.8,0.8051557998728979,39.266666666666666,0.5832922809856745
0.08,0.5,47.86666666666667,0.5713464637233653,39.2,0.40683810217248656
0.08,0.6,48.3,0.7497125886079553,40.2,3.9601462877890836
0.08,0.7,48.36666666666667,0.6686751354593716,39.53333333333333,0.5713464637233662
0.08,0.8,48.3,0.7022132498578061,39.3,0.4660915996993998
0.08,0.9,48.36666666666667,0.7183954022841381,39.333333333333336,0.4794633014853841
